model,factor,level,total,anomalies,normals,recall,fpr,abstention_rate,recall_effect_vs_overall,fpr_effect_vs_overall,interpretation
frozen_v04,scenario_type,weak_long_duration_activation,24,24,0,0.75000000,,0.00000000,0.24537037,,controlled_generated_factor_effect_not_actual_region_effect
frozen_v04,severity,moderate,71,71,0,0.50704225,,0.00000000,0.00241262,,controlled_generated_factor_effect_not_actual_region_effect
frozen_v04,severity,none,216,0,216,,0.31481481,0.00000000,,0.00000000,controlled_generated_factor_effect_not_actual_region_effect
frozen_v04,severity,strong,73,73,0,1.00000000,,0.00000000,0.49537037,,controlled_generated_factor_effect_not_actual_region_effect
frozen_v04,severity,weak,72,72,0,0.00000000,,0.00000000,-0.50462963,,controlled_generated_factor_effect_not_actual_region_effect
C1,region,chungju,144,72,72,0.75000000,0.11111111,0.00000000,0.01851852,0.00000000,controlled_generated_factor_effect_not_actual_region_effect
C1,region,gangneung,144,72,72,0.72222222,0.11111111,0.00000000,-0.00925926,0.00000000,controlled_generated_factor_effect_not_actual_region_effect
C1,region,suyeong,144,72,72,0.72222222,0.11111111,0.00000000,-0.00925926,0.00000000,controlled_generated_factor_effect_not_actual_region_effect
C1,season,autumn,108,54,54,0.72222222,0.11111111,0.00000000,-0.00925926,0.00000000,controlled_generated_factor_effect_not_actual_region_effect
C1,season,spring,108,54,54,0.72222222,0.11111111,0.00000000,-0.00925926,0.00000000,controlled_generated_factor_effect_not_actual_region_effect
C1,season,summer,108,54,54,0.74074074,0.11111111,0.00000000,0.00925926,0.00000000,controlled_generated_factor_effect_not_actual_region_effect
C1,season,winter,108,54,54,0.74074074,0.11111111,0.00000000,0.00925926,0.00000000,controlled_generated_factor_effect_not_actual_region_effect
C1,region_x_season,chungju:autumn,36,18,18,0.72222222,0.11111111,0.00000000,-0.00925926,0.00000000,controlled_generated_factor_effect_not_actual_region_effect
C1,region_x_season,chungju:spring,36,18,18,0.72222222,0.11111111,0.00000000,-0.00925926,0.00000000,controlled_generated_factor_effect_not_actual_region_effect
C1,region_x_season,chungju:summer,36,18,18,0.77777778,0.11111111,0.00000000,0.04629630,0.00000000,controlled_generated_factor_effect_not_actual_region_effect
C1,region_x_season,chungju:winter,36,18,18,0.77777778,0.11111111,0.00000000,0.04629630,0.00000000,controlled_generated_factor_effect_not_actual_region_effect
C1,region_x_season,gangneung:autumn,36,18,18,0.72222222,0.11111111,0.00000000,-0.00925926,0.00000000,controlled_generated_factor_effect_not_actual_region_effect
C1,region_x_season,gangneung:spring,36,18,18,0.72222222,0.11111111,0.00000000,-0.00925926,0.00000000,controlled_generated_factor_effect_not_actual_region_effect
C1,region_x_season,gangneung:summer,36,18,18,0.72222222,0.11111111,0.00000000,-0.00925926,0.00000000,controlled_generated_factor_effect_not_actual_region_effect
C1,region_x_season,gangneung:winter,36,18,18,0.72222222,0.11111111,0.00000000,-0.00925926,0.00000000,controlled_generated_factor_effect_not_actual_region_effect
C1,region_x_season,suyeong:autumn,36,18,18,0.72222222,0.11111111,0.00000000,-0.00925926,0.00000000,controlled_generated_factor_effect_not_actual_region_effect
C1,region_x_season,suyeong:spring,36,18,18,0.72222222,0.11111111,0.00000000,-0.00925926,0.00000000,controlled_generated_factor_effect_not_actual_region_effect
C1,region_x_season,suyeong:summer,36,18,18,0.72222222,0.11111111,0.00000000,-0.00925926,0.00000000,controlled_generated_factor_effect_not_actual_region_effect
C1,region_x_season,suyeong:winter,36,18,18,0.72222222,0.11111111,0.00000000,-0.00925926,0.00000000,controlled_generated_factor_effect_not_actual_region_effect
C1,feature_availability,complete,67,37,30,0.70270270,0.10000000,0.00000000,-0.02877878,-0.01111111,controlled_generated_factor_effect_not_actual_region_effect
C1,feature_availability,load_phase_unavailable_no_imputation,47,22,25,0.72727273,0.16000000,0.00000000,-0.00420875,0.04888889,controlled_generated_factor_effect_not_actual_region_effect
C1,feature_availability,load_unavailable,66,32,34,0.75000000,0.11764706,0.00000000,0.01851852,0.00653595,controlled_generated_factor_effect_not_actual_region_effect
C1,feature_availability,load_unavailable_no_imputation,51,33,18,0.75757576,0.11111111,0.00000000,0.02609428,0.00000000,controlled_generated_factor_effect_not_actual_region_effect
