dataset,candidate,status,audit_note,claim_boundary,threshold,External MAD Accuracy,External MAD Balanced Accuracy,External MAD Precision,External MAD Recall,External MAD F1,External MAD Specificity,External MAD FPR,External MAD AP,External MAD AUROC,External MAD Recall Wilson 95% Low,External MAD Recall Wilson 95% High,External MAD Specificity Wilson 95% Low,External MAD Specificity Wilson 95% High,External MAD F1 Bootstrap 95% Low,External MAD F1 Bootstrap 95% High,External MAD AP Bootstrap 95% Low,External MAD AP Bootstrap 95% High,true_negative,false_positive,true_positive,false_negative,eligible_count,total_count,eligibility_fraction
External MAD,implementation recovery audit,ATTEMPT_2_IMPLEMENTATION_ONLY_RECOVERY,"Attempt 1 failed before any metric was computed because it required all candidate scores to be finite. Attempt 2 reports finite-score eligible coverage only; formulas, scores, thresholds, configuration, and seals are unchanged.","External electrical anomaly mechanism evaluation only; not LightGuard streetlight field accuracy, field recall, asset condition, or fault probability.",,,,,,,,,,,,,,,,,,,,,,,,,
External MAD,SC1,EVALUATED_PARTIAL,,"External electrical anomaly mechanism evaluation only; not LightGuard streetlight field accuracy, field recall, asset condition, or fault probability.",3.196277579492502,0.7418518518518519,0.5264559593404232,0.3228346456692913,0.13509060955518945,0.19047619047619047,0.917821309125657,0.08217869087434305,0.2612741457707932,0.5264836070025526,0.11700941231318986,0.15547388706638238,0.9091135351746864,0.925762923607736,0.16586289414414415,0.21521828935171888,0.24190398132659285,0.28218826236746686,3842,344,164,1050,5400,5414,0.9974141115626154
External MAD,SC2,NOT_EVALUABLE_LG_S3_UNAVAILABLE,,"External electrical anomaly mechanism evaluation only; not LightGuard streetlight field accuracy, field recall, asset condition, or fault probability.",,,,,,,,,,,,,,,,,,,,,,,0,5414,0.0
External MAD,SC3,EVALUATED_PARTIAL,,"External electrical anomaly mechanism evaluation only; not LightGuard streetlight field accuracy, field recall, asset condition, or fault probability.",0.9577283372365338,0.774074074074074,0.5200448502146089,0.4797297297297297,0.05848434925864909,0.10425844346549192,0.9816053511705686,0.01839464882943144,0.2435316747599848,0.46966038044757336,0.046624532500829395,0.07312952724510897,0.9770711277437655,0.9852564542490095,0.08234997490074385,0.12554587225639857,0.22285344741079863,0.2648606625120892,4109,77,71,1143,5400,5414,0.9974141115626154
External MAD,z-score comparator,EVALUATED,,"External electrical anomaly mechanism evaluation only; not LightGuard streetlight field accuracy, field recall, asset condition, or fault probability.",2.322094535847566,0.7997783524196528,0.665982584137444,0.5723830734966593,0.4233937397034596,0.48674242424242425,0.9085714285714286,0.09142857142857143,0.5164791815750412,0.7632188946418765,0.39588422468210477,0.4513865356842614,0.899477528367729,0.916918625868492,0.4595938850215037,0.5126791850617202,0.4862231198903246,0.5474944519028148,3816,384,514,700,5414,5414,1.0
External MAD,SC3 primary gate,NOT_EVALUABLE_INCOMPLETE_COVERAGE,,"External electrical anomaly mechanism evaluation only; not LightGuard streetlight field accuracy, field recall, asset condition, or fault probability.",0.9577283372365338,,0.5200448502146089,,,,,,,,,,,,,,,,,,,,5400,5414,0.9974141115626154
