dataset,candidate,opaque_label,sample_count,eligible_count,eligibility_fraction,classwise_recall,interpretation,claim_boundary
External MAD,SC3,0,4200,4186,0.9966666666666667,0.9816053511705686,Opaque repository label only; no class mechanism inferred.,"External electrical anomaly mechanism evaluation only; not LightGuard streetlight field accuracy, field recall, asset condition, or fault probability."
External MAD,SC3,Abnormal-1,199,199,1.0,0.08040201005025126,Opaque repository label only; no class mechanism inferred.,"External electrical anomaly mechanism evaluation only; not LightGuard streetlight field accuracy, field recall, asset condition, or fault probability."
External MAD,SC3,Abnormal-2,80,80,1.0,0.075,Opaque repository label only; no class mechanism inferred.,"External electrical anomaly mechanism evaluation only; not LightGuard streetlight field accuracy, field recall, asset condition, or fault probability."
External MAD,SC3,Abnormal-3,93,93,1.0,0.23655913978494625,Opaque repository label only; no class mechanism inferred.,"External electrical anomaly mechanism evaluation only; not LightGuard streetlight field accuracy, field recall, asset condition, or fault probability."
External MAD,SC3,Abnormal-4,523,523,1.0,0.04397705544933078,Opaque repository label only; no class mechanism inferred.,"External electrical anomaly mechanism evaluation only; not LightGuard streetlight field accuracy, field recall, asset condition, or fault probability."
External MAD,SC3,Abnormal-5,87,87,1.0,0.04597701149425287,Opaque repository label only; no class mechanism inferred.,"External electrical anomaly mechanism evaluation only; not LightGuard streetlight field accuracy, field recall, asset condition, or fault probability."
External MAD,SC3,Abnormal-6,232,232,1.0,0.0,Opaque repository label only; no class mechanism inferred.,"External electrical anomaly mechanism evaluation only; not LightGuard streetlight field accuracy, field recall, asset condition, or fault probability."
