controller_uid,municipality_id,cabinet_uid,company_code,cabinet_code,cabinet_seq,operation_mode,switch_model,modem_type,modem_id,on_offset_min,off_offset_min,voltage_setting,sequential_control,forced_time,latitude,longitude,address,source_file,source_row
GN-CTL-1a04b38f10,gangneung,GN-CAB-1a04b38f10,KNI,YB,17,0,GMC-200,3,17,-15.0,10.0,220.0,1,60,37.7577899,128.8922445,강원특별자치도 강릉시 교동 162-209,강원특별자치도 강릉시_분전함_20230820.csv,47
GN-CTL-d4a2a76d4b,gangneung,GN-CAB-d4a2a76d4b,KNI,YB,18,0,GMC-200,3,18,-15.0,10.0,220.0,1,100,37.7569902,128.8990554,강원특별자치도 강릉시 옥천동 163-1,강원특별자치도 강릉시_분전함_20230820.csv,48
GN-CTL-10209e24ea,gangneung,GN-CAB-10209e24ea,KNC,YB,18,0,GMC-200,3,18,-15.0,5.0,220.0,0,60,37.7569902,128.8990554,강원특별자치도 강릉시 옥천동 163-1,강원특별자치도 강릉시_분전함_20230820.csv,49
GN-CTL-05fac76bf4,gangneung,GN-CAB-05fac76bf4,KNI,YB,19,0,GMC-200,3,19,-15.0,10.0,220.0,1,100,37.7600433,128.9039385,강원특별자치도 강릉시 옥천동 206,강원특별자치도 강릉시_분전함_20230820.csv,50
GN-CTL-ce433f1a52,gangneung,GN-CAB-ce433f1a52,KNC,YB,19,0,GMC-200S,3,19,-15.0,5.0,220.0,0,5,37.7600729,128.9039363,강원특별자치도 강릉시 옥천동 351,강원특별자치도 강릉시_분전함_20230820.csv,51
GN-CTL-71bc616c4e,gangneung,GN-CAB-71bc616c4e,KNC,YB,20,0,GMC-200S,3,20,-20.0,5.0,220.0,1,40,37.7715559,128.9100948,강원특별자치도 강릉시 포남동 1197-4,강원특별자치도 강릉시_분전함_20230820.csv,52
GN-CTL-b266809af4,gangneung,GN-CAB-b266809af4,KNI,YB,20,0,GMC-200,3,20,-15.0,10.0,220.0,1,100,37.7715559,128.9100948,강원특별자치도 강릉시 포남동 1197-4,강원특별자치도 강릉시_분전함_20230820.csv,53
GN-CTL-f85ce11845,gangneung,GN-CAB-f85ce11845,KNI,YB,21,0,GMC-200,3,21,-15.0,10.0,220.0,0,30,37.7737045,128.9130498,강원특별자치도 강릉시 포남동 1295,강원특별자치도 강릉시_분전함_20230820.csv,54
GN-CTL-777c8f9164,gangneung,GN-CAB-777c8f9164,KNC,YB,21,0,GMC-200S,3,21,-20.0,5.0,220.0,0,5,37.7737045,128.9130498,강원특별자치도 강릉시 포남동 1295,강원특별자치도 강릉시_분전함_20230820.csv,55
GN-CTL-4c46396b15,gangneung,GN-CAB-4c46396b15,KNC,YB,22,0,GMC-200S,3,22,-20.0,5.0,220.0,1,1,37.787771,128.8938647,강원특별자치도 강릉시 운정동 66-4,강원특별자치도 강릉시_분전함_20230820.csv,56
