case_id,score_M2,weather_modifier,score_M3,rank_M2,rank_M3,rank_delta
CTRL-SY-CAB-385021d05c,0.0,0.0,0.0,83,83,0
CTRL-SY-CAB-389bbb2d5d,0.0,0.0,0.0,84,84,0
CTRL-SY-CAB-3a76040023,0.0,0.0,0.0,85,85,0
CTRL-SY-CAB-3abf274d0a,0.0,0.0,0.0,86,86,0
CTRL-SY-CAB-3ba8bf40cf,0.0,0.0,0.0,87,87,0
CTRL-SY-CAB-3d1f747cee,0.0,0.0,0.0,88,88,0
CTRL-SY-CAB-3d620570ac,0.0,0.0,0.0,89,89,0
CTRL-SY-CAB-3ddbf0de24,0.0,0.0,0.0,90,90,0
CTRL-SY-CAB-3e06f82a0e,0.0,0.0,0.0,91,91,0
CTRL-SY-CAB-3fd618fd12,0.0,0.0,0.0,92,92,0
CTRL-SY-CAB-40be76037a,0.0,0.0,0.0,93,93,0
CTRL-SY-CAB-44591d458f,0.0,0.0,0.0,94,94,0
CTRL-SY-CAB-4621a34bc8,0.0,0.0,0.0,95,95,0
CTRL-SY-CAB-47fff20e2c,0.0,0.0,0.0,96,96,0
CTRL-SY-CAB-4823d13b52,0.0,0.0,0.0,97,97,0
CTRL-SY-CAB-4bde8263ef,0.0,0.0,0.0,98,98,0
CTRL-SY-CAB-4ce73a3391,0.0,0.0,0.0,99,99,0
CTRL-SY-CAB-50c52cc6c9,0.0,0.0,0.0,100,100,0
CTRL-SY-CAB-50e6b35fb5,0.0,0.0,0.0,101,101,0
CTRL-SY-CAB-541d7205dd,0.0,0.0,0.0,102,102,0
CTRL-SY-CAB-55569d0c8e,0.0,0.0,0.0,103,103,0
CTRL-SY-CAB-5602b31a50,0.0,0.0,0.0,104,104,0
CTRL-SY-CAB-565718517b,0.0,0.0,0.0,105,105,0
CTRL-SY-CAB-56c8e0734a,0.0,0.0,0.0,106,106,0
CTRL-SY-CAB-588dd5beeb,0.0,0.0,0.0,107,107,0
CTRL-SY-CAB-5a60f186e7,0.0,0.0,0.0,108,108,0
CTRL-SY-CAB-5b61a70385,0.0,0.0,0.0,109,109,0
CTRL-SY-CAB-5be8a18eed,0.0,0.0,0.0,110,110,0
CTRL-SY-CAB-5e3a21e38c,0.0,0.0,0.0,111,111,0
CTRL-SY-CAB-5e96dcbabb,0.0,0.0,0.0,112,112,0
CTRL-SY-CAB-63d4367c80,0.0,0.0,0.0,113,113,0
CTRL-SY-CAB-646ea30325,0.0,0.0,0.0,114,114,0
CTRL-SY-CAB-6aaa863ac5,0.0,0.0,0.0,115,115,0
CTRL-SY-CAB-7488bdc74f,0.0,0.0,0.0,116,116,0
CTRL-SY-CAB-76d9e09e78,0.0,0.0,0.0,117,117,0
CTRL-SY-CAB-76e690f057,0.0,0.0,0.0,118,118,0
CTRL-SY-CAB-7af43ed641,0.0,0.0,0.0,119,119,0
CTRL-SY-CAB-7fdaaf1c36,0.0,0.0,0.0,120,120,0
CTRL-SY-CAB-85f9d54eaa,0.0,0.0,0.0,121,121,0
CTRL-SY-CAB-89191950ab,0.0,0.0,0.0,122,122,0
CTRL-SY-CAB-8a139c8819,0.0,0.0,0.0,123,123,0
CTRL-SY-CAB-8a36544a30,0.0,0.0,0.0,124,124,0
CTRL-SY-CAB-8beb0740f3,0.0,0.0,0.0,125,125,0
CTRL-SY-CAB-8c32346369,0.0,0.0,0.0,126,126,0
CTRL-SY-CAB-8cf9ec612c,0.0,0.0,0.0,127,127,0
