search_rank,activation,duration,load,phase,solar_penalty,transient_penalty,policy_penalty,weather,threshold,anomaly_recall,normal_fpr,inspection_candidate_count,normal_false_positive_count,precision_at_5,recall_at_5,precision_at_10,recall_at_10,precision_at_20,recall_at_20,average_precision,ndcg_at_10,ndcg_at_20,objective_frozen
17,0.6,0.25,0.25,0.2,0.35,0.2,0.35,0.05,0.55,0.9833333333333333,0.008333333333333333,60,1,1.0,0.08333333333333333,1.0,0.16666666666666666,1.0,0.3333333333333333,0.9987179487179486,1.0,1.0,recall >= 0.98; minimize normal FPR; maximize P@10 then P@20 then NDCG@10; minimize candidates and complexity
18,0.6,0.25,0.25,0.2,0.35,0.35,0.2,0.05,0.55,0.9833333333333333,0.008333333333333333,60,1,1.0,0.08333333333333333,1.0,0.16666666666666666,1.0,0.3333333333333333,0.9987179487179486,1.0,1.0,recall >= 0.98; minimize normal FPR; maximize P@10 then P@20 then NDCG@10; minimize candidates and complexity
19,0.6,0.25,0.25,0.2,0.35,0.2,0.35,0.1,0.55,0.9833333333333333,0.008333333333333333,60,1,1.0,0.08333333333333333,1.0,0.16666666666666666,1.0,0.3333333333333333,0.9994623655913979,1.0,1.0,recall >= 0.98; minimize normal FPR; maximize P@10 then P@20 then NDCG@10; minimize candidates and complexity
20,0.6,0.25,0.25,0.2,0.2,0.35,0.35,0.1,0.55,0.9833333333333333,0.008333333333333333,60,1,1.0,0.08333333333333333,1.0,0.16666666666666666,1.0,0.3333333333333333,0.9994623655913979,1.0,1.0,recall >= 0.98; minimize normal FPR; maximize P@10 then P@20 then NDCG@10; minimize candidates and complexity
21,0.6,0.25,0.25,0.2,0.35,0.35,0.2,0.1,0.55,0.9833333333333333,0.008333333333333333,60,1,1.0,0.08333333333333333,1.0,0.16666666666666666,1.0,0.3333333333333333,0.9994623655913979,1.0,1.0,recall >= 0.98; minimize normal FPR; maximize P@10 then P@20 then NDCG@10; minimize candidates and complexity
22,0.6,0.25,0.25,0.2,0.35,0.35,0.35,0.0,0.55,0.9833333333333333,0.008333333333333333,60,1,1.0,0.08333333333333333,1.0,0.16666666666666666,1.0,0.3333333333333333,0.9984848484848484,1.0,1.0,recall >= 0.98; minimize normal FPR; maximize P@10 then P@20 then NDCG@10; minimize candidates and complexity
23,0.6,0.25,0.25,0.2,0.35,0.35,0.35,0.05,0.55,0.9833333333333333,0.008333333333333333,60,1,1.0,0.08333333333333333,1.0,0.16666666666666666,1.0,0.3333333333333333,0.9987179487179486,1.0,1.0,recall >= 0.98; minimize normal FPR; maximize P@10 then P@20 then NDCG@10; minimize candidates and complexity
24,0.6,0.25,0.25,0.2,0.35,0.35,0.35,0.1,0.55,0.9833333333333333,0.008333333333333333,60,1,1.0,0.08333333333333333,1.0,0.16666666666666666,1.0,0.3333333333333333,0.9994623655913979,1.0,1.0,recall >= 0.98; minimize normal FPR; maximize P@10 then P@20 then NDCG@10; minimize candidates and complexity
25,0.6,0.15,0.25,0.1,0.2,0.2,0.2,0.0,0.45,0.9833333333333333,0.016666666666666666,61,2,1.0,0.08333333333333333,1.0,0.16666666666666666,1.0,0.3333333333333333,0.9970725995316159,1.0,1.0,recall >= 0.98; minimize normal FPR; maximize P@10 then P@20 then NDCG@10; minimize candidates and complexity
26,0.6,0.15,0.25,0.1,0.2,0.2,0.2,0.05,0.45,0.9833333333333333,0.016666666666666666,61,2,1.0,0.08333333333333333,1.0,0.16666666666666666,1.0,0.3333333333333333,0.9980392156862745,1.0,1.0,recall >= 0.98; minimize normal FPR; maximize P@10 then P@20 then NDCG@10; minimize candidates and complexity
