audit_type,model,case_id,cabinet_uid,rank,total_score,control_type,activation,duration_min,solar_context,expected_load_kw,lamp_count,weather_context,score_ami,score_duration,score_solar,score_asset,score_weather
low_ranked_anomaly,M2,ANOM-SY-CAB-84f0d25e33,SY-CAB-84f0d25e33,53,0.2,,0.2,105,daytime,3.89,27,"{""cloud_amount"": 0.0, ""precipitation"": null, ""solar_radiation"": 0.47, ""source"": ""KMA_ASOS_HOURLY_OFFICIAL"", ""timestamp"": ""2026-01-14 09:00""}",0.2,-0.0,0.0,0.0,0.0
low_ranked_anomaly,M2,ANOM-SY-CAB-987a63343c,SY-CAB-987a63343c,54,0.2,,0.2,105,daytime,2.915,22,"{""cloud_amount"": 0.0, ""precipitation"": null, ""solar_radiation"": 0.47, ""source"": ""KMA_ASOS_HOURLY_OFFICIAL"", ""timestamp"": ""2026-01-14 09:00""}",0.2,-0.0,0.0,0.0,0.0
low_ranked_anomaly,M2,ANOM-SY-CAB-d6a63b2385,SY-CAB-d6a63b2385,55,0.2,,0.2,105,daytime,2.8,20,"{""cloud_amount"": 0.0, ""precipitation"": null, ""solar_radiation"": 0.47, ""source"": ""KMA_ASOS_HOURLY_OFFICIAL"", ""timestamp"": ""2026-01-14 09:00""}",0.2,-0.0,0.0,0.0,0.0
low_ranked_anomaly,M2,ANOM-SY-CAB-e2da04e0e2,SY-CAB-e2da04e0e2,56,0.2,,0.2,105,daytime,4.0,33,"{""cloud_amount"": 0.0, ""precipitation"": null, ""solar_radiation"": 0.47, ""source"": ""KMA_ASOS_HOURLY_OFFICIAL"", ""timestamp"": ""2026-01-14 09:00""}",0.2,-0.0,0.0,0.0,0.0
top20_false_positive,M3,CTRL-SY-CAB-0ce29a4daf,SY-CAB-0ce29a4daf,1,0.522,C_adverse_weather,0.55,120,daytime,1.9,19,"{""cloud_amount"": 4.0, ""precipitation"": null, ""solar_radiation"": 2.87, ""source"": ""KMA_ASOS_HOURLY_OFFICIAL"", ""timestamp"": ""2026-07-15 13:00""}",0.55,-0.0,0.0,0.0,-0.028000000000000004
top20_false_positive,M3,CTRL-SY-CAB-0d4d0b1aef,SY-CAB-0d4d0b1aef,2,0.522,C_adverse_weather,0.55,120,daytime,1.98,14,"{""cloud_amount"": 4.0, ""precipitation"": null, ""solar_radiation"": 2.87, ""source"": ""KMA_ASOS_HOURLY_OFFICIAL"", ""timestamp"": ""2026-07-15 13:00""}",0.55,-0.0,0.0,0.0,-0.028000000000000004
top20_false_positive,M3,CTRL-SY-CAB-128c928604,SY-CAB-128c928604,3,0.522,C_adverse_weather,0.55,120,daytime,7.5,62,"{""cloud_amount"": 4.0, ""precipitation"": null, ""solar_radiation"": 2.87, ""source"": ""KMA_ASOS_HOURLY_OFFICIAL"", ""timestamp"": ""2026-07-15 13:00""}",0.55,-0.0,0.0,0.0,-0.028000000000000004
top20_false_positive,M3,CTRL-SY-CAB-13aef7fca2,SY-CAB-13aef7fca2,4,0.522,C_adverse_weather,0.55,120,daytime,2.0,20,"{""cloud_amount"": 4.0, ""precipitation"": null, ""solar_radiation"": 2.87, ""source"": ""KMA_ASOS_HOURLY_OFFICIAL"", ""timestamp"": ""2026-07-15 13:00""}",0.55,-0.0,0.0,0.0,-0.028000000000000004
top20_false_positive,M3,CTRL-SY-CAB-13ec418774,SY-CAB-13ec418774,5,0.522,C_adverse_weather,0.55,120,daytime,4.2,34,"{""cloud_amount"": 4.0, ""precipitation"": null, ""solar_radiation"": 2.87, ""source"": ""KMA_ASOS_HOURLY_OFFICIAL"", ""timestamp"": ""2026-07-15 13:00""}",0.55,-0.0,0.0,0.0,-0.028000000000000004
low_ranked_anomaly,M3,ANOM-SY-CAB-1e5575ef40,SY-CAB-1e5575ef40,42,0.2,,0.2,105,daytime,2.85,19,"{""cloud_amount"": 0.0, ""precipitation"": null, ""solar_radiation"": 0.47, ""source"": ""KMA_ASOS_HOURLY_OFFICIAL"", ""timestamp"": ""2026-01-14 09:00""}",0.2,-0.0,0.0,0.0,0.0
