source_record_id,source_path,target_meter_or_cabinet,join_method,join_key,time_alignment,mapping_confidence,usable_for_gold,usable_for_silver
SRC-0124,lightguard_v0_1/reports/v09/reproducibility_manifest.json,,field_name_only,$.files.lightguard_app/lib/features/ami_validation/v09_specificity_card.dart;$.files.lightguard_v0_1/reports/v09/v09_actual_ami_regression.csv,available,UNAVAILABLE,False,False
SRC-0125,lightguard_v0_1/reports/v09/v08_false_positive_inventory.csv,,field_name_only,asset_cabinet_uid;signal_parameter_id;taxonomy_family,unavailable,UNAVAILABLE,False,False
SRC-0127,lightguard_v0_1/reports/v09/v09_actual_ami_regression.csv,B-L-13;B-L-14;B-L-35;B-L-9,exact_target_meter_value,meter_id,unavailable,PARTIAL,False,False
SRC-0130,lightguard_v0_1/reports/v09/v09_episode_effects.csv,,field_name_only,effect_family,unavailable,UNAVAILABLE,False,False
SRC-0131,lightguard_v0_1/reports/v09/v09_hard_negative_results.csv,,field_name_only,hard_negative_family,unavailable,UNAVAILABLE,False,False
SRC-0135,lightguard_v0_1/reports/v10/v10_benign_control_results.csv,B-L-12;B-L-13;B-L-14;B-L-35;B-L-9,exact_target_meter_value,meter_id,available,PARTIAL,False,False
SRC-0136,lightguard_v0_1/reports/v10/v10_canonical_shadow_replay.csv,B-L-13;B-L-14;B-L-35;B-L-9,exact_target_meter_value,meter_id,available,PARTIAL,False,False
SRC-0137,lightguard_v0_1/reports/v10/v10_evidence_availability.csv,,field_name_only,evidence_family,unavailable,UNAVAILABLE,False,False
SRC-0138,lightguard_v0_1/reports/v10/v10_frozen_h1_transport.csv,,field_name_only,worst_meter_irr,available,UNAVAILABLE,False,False
SRC-0139,lightguard_v0_1/reports/v10/v10_meter_drift.csv,B-L-12;B-L-13;B-L-14;B-L-35;B-L-9,exact_target_meter_value,meter_id,available,PARTIAL,False,False
SRC-0140,lightguard_v0_1/reports/v10/v10_meter_level_results.csv,B-L-12;B-L-13;B-L-14;B-L-35;B-L-9,exact_target_meter_value,meter_id,unavailable,PARTIAL,False,False
SRC-0146:총괄표_게시용,official_docs/AMI Data Sample/1-1_총괄 데이터 표_가명화_AMI_★.xlsx,B-L-12;B-L-13;B-L-14;B-L-35;B-L-9,exact_target_meter_value,순번(계기번호),unavailable,PARTIAL,False,False
