timestamp,meter_id,i1,i2,i3,active_energy_kwh,source_row
2026-05-11 08:15:00,B-L-35,0.05,,,,276000
2026-05-11 08:30:00,B-L-35,0.05,,,,276001
2026-05-11 08:45:00,B-L-35,0.05,,,,276002
2026-05-11 09:00:00,B-L-35,0.05,,,0.007,276003
2026-05-11 09:15:00,B-L-35,0.05,,,,276004
2026-05-11 09:30:00,B-L-35,0.05,,,,276005
2026-05-11 09:45:00,B-L-35,1.22,,,,276006
2026-05-11 10:00:00,B-L-35,0.82,,,0.116,276007
2026-05-11 10:15:00,B-L-35,16.55,,,,276008
2026-05-11 10:30:00,B-L-35,16.44,,,,276009
2026-05-11 10:45:00,B-L-35,0.05,,,,276010
2026-05-11 11:00:00,B-L-35,0.05,,,1.854,276011
2026-05-11 11:15:00,B-L-35,0.05,,,,276012
2026-05-11 11:30:00,B-L-35,0.05,,,,276013
2026-05-11 11:45:00,B-L-35,0.05,,,,276014
2026-05-11 12:00:00,B-L-35,0.05,,,0.007,276015
2026-05-11 12:15:00,B-L-35,0.05,,,,276016
2026-05-11 12:30:00,B-L-35,0.05,,,,276017
