timestamp,meter_id,i1,i2,i3,active_energy_kwh,source_row
2026-05-29 08:45:00,B-L-14,0.03,0,0,0.001,190305
2026-05-29 09:00:00,B-L-14,0.03,0,0,0.001,190306
2026-05-29 09:15:00,B-L-14,0.03,0,0,0.002,190307
2026-05-29 09:30:00,B-L-14,0.03,0,0,0.001,190308
2026-05-29 09:45:00,B-L-14,0.03,0,0,0.002,190309
2026-05-29 10:00:00,B-L-14,0.03,0,0,0.001,190310
2026-05-29 10:15:00,B-L-14,0.03,0,0,0.001,190311
2026-05-29 10:30:00,B-L-14,0.03,0,0,0.002,190312
2026-05-29 10:45:00,B-L-14,0.03,3.34,0,0.179,190313
2026-05-29 11:00:00,B-L-14,0.03,3.99,0,0.215,190314
2026-05-29 11:15:00,B-L-14,0.03,3.99,0,0.214,190315
2026-05-29 11:30:00,B-L-14,0.03,3.98,0,0.213,190316
2026-05-29 11:45:00,B-L-14,0.03,3.97,2.49,0.349,190317
2026-05-29 12:00:00,B-L-14,0.03,3.88,1.77,0.304,190318
2026-05-29 12:15:00,B-L-14,0.03,0,0,0.002,190319
2026-05-29 12:30:00,B-L-14,0.03,0,0,0.001,190320
2026-05-29 12:45:00,B-L-14,0.03,0,0,0.002,190321
2026-05-29 13:00:00,B-L-14,0.03,0,0,0.001,190322
2026-05-29 13:15:00,B-L-14,0.03,0,0,0.002,190323
2026-05-29 13:30:00,B-L-14,0.03,0,0,0.001,190324
2026-05-29 13:45:00,B-L-14,0.03,0,0,0.001,190325
2026-05-29 14:00:00,B-L-14,0.03,0,0,0.002,190326
