timestamp,meter_id,i1,i2,i3,active_energy_kwh,source_row
2026-06-23 08:00:00,B-L-13,0.03,,,0.005,183972
2026-06-23 08:15:00,B-L-13,0.02,,,,183973
2026-06-23 08:30:00,B-L-13,0.03,,,,183974
2026-06-23 08:45:00,B-L-13,0.02,,,,183975
2026-06-23 09:00:00,B-L-13,0.03,,,0.005,183976
2026-06-23 09:15:00,B-L-13,0.02,,,,183977
2026-06-23 09:30:00,B-L-13,0.03,,,,183978
2026-06-23 09:45:00,B-L-13,0.03,,,,183979
2026-06-23 10:00:00,B-L-13,5.9,,,0.318,183980
2026-06-23 10:15:00,B-L-13,0.02,,,,183981
2026-06-23 10:30:00,B-L-13,0.02,,,,183982
2026-06-23 10:45:00,B-L-13,0.02,,,,183983
2026-06-23 11:00:00,B-L-13,0.03,,,0.005,183984
2026-06-23 11:15:00,B-L-13,0.03,,,,183985
2026-06-23 11:30:00,B-L-13,0.03,,,,183986
2026-06-23 11:45:00,B-L-13,0.03,,,,183987
2026-06-23 12:00:00,B-L-13,0.03,,,0.004,183988
