timestamp,meter_id,i1,i2,i3,active_energy_kwh,source_row
2026-05-21 13:00:00,B-L-9,0.114,4.314,0,0.172,145929
2026-05-21 13:15:00,B-L-9,0.114,4.327,0,0.171,145930
2026-05-21 13:30:00,B-L-9,0.115,4.33,0,0.171,145931
2026-05-21 13:45:00,B-L-9,0.115,4.349,0,0.173,145932
2026-05-21 14:00:00,B-L-9,0.115,4.371,0,0.174,145933
2026-05-21 14:15:00,B-L-9,0.115,4.374,0,0.174,145934
2026-05-21 14:30:00,B-L-9,0.115,4.376,0,0.175,145935
2026-05-21 14:45:00,B-L-9,2.77,6.261,1.788,0.526,145936
2026-05-21 15:00:00,B-L-9,18.594,17.567,12.575,2.616,145937
2026-05-21 15:15:00,B-L-9,1.2769,5.188,0.77,0.327,145938
2026-05-21 15:30:00,B-L-9,0.123,4.3649,0,0.175,145939
2026-05-21 15:45:00,B-L-9,0.123,4.369,0,0.175,145940
2026-05-21 16:00:00,B-L-9,0.123,4.37,0,0.175,145941
2026-05-21 16:15:00,B-L-9,0.124,4.3649,0,0.175,145942
2026-05-21 16:30:00,B-L-9,0.124,4.369,0,0.175,145943
2026-05-21 16:45:00,B-L-9,0.123,4.364,0,0.175,145944
2026-05-21 17:00:00,B-L-9,0.123,4.349,0,0.175,145945
