timestamp,meter_id,i1,i2,i3,active_energy_kwh,source_row
2026-05-19 12:15:00,B-L-14,0.03,0,0,0.002,189359
2026-05-19 12:30:00,B-L-14,0.03,0,0,0.001,189360
2026-05-19 12:45:00,B-L-14,0.03,0,0,0.002,189361
2026-05-19 13:00:00,B-L-14,0.03,0,0,0.001,189362
2026-05-19 13:15:00,B-L-14,0.03,0,0,0.001,189363
2026-05-19 13:30:00,B-L-14,0.03,0,0,0.002,189364
2026-05-19 13:45:00,B-L-14,0.03,0,0,0.001,189365
2026-05-19 14:00:00,B-L-14,0.03,0,0,0.002,189366
2026-05-19 14:15:00,B-L-14,2.1,2.04,2.94,0.377,189367
2026-05-19 14:30:00,B-L-14,1.16,1.11,1.6,0.208,189368
2026-05-19 14:45:00,B-L-14,0.03,0,0,0.002,189369
2026-05-19 15:00:00,B-L-14,0.03,0,0,0.001,189370
2026-05-19 15:15:00,B-L-14,0.03,0,0,0.001,189371
2026-05-19 15:30:00,B-L-14,0.03,0,0,0.002,189372
2026-05-19 15:45:00,B-L-14,0.03,0,0,0.001,189373
2026-05-19 16:00:00,B-L-14,0.03,0,0,0.001,189374
2026-05-19 16:15:00,B-L-14,0.03,0,0,0.002,189375
2026-05-19 16:30:00,B-L-14,0.03,0,0,0.001,189376
