timestamp,meter_id,i1,i2,i3,active_energy_kwh,source_row
2026-05-20 12:30:00,B-L-9,0.115,4.409,0,0.177,145831
2026-05-20 12:45:00,B-L-9,0.115,4.403,0,0.178,145832
2026-05-20 13:00:00,B-L-9,0.115,4.412,0,0.177,145833
2026-05-20 13:15:00,B-L-9,0.115,4.42,0,0.177,145834
2026-05-20 13:30:00,B-L-9,0.115,4.423,0,0.177,145835
2026-05-20 13:45:00,B-L-9,0.115,4.429,0,0.178,145836
2026-05-20 14:00:00,B-L-9,0.116,4.431,0,0.177,145837
2026-05-20 14:15:00,B-L-9,0.116,4.432,0,0.177,145838
2026-05-20 14:30:00,B-L-9,16.429,15.621,11.108,2.299,145839
2026-05-20 14:45:00,B-L-9,4.057,7.135,2.692,0.689,145840
2026-05-20 15:00:00,B-L-9,0.114,4.396,0,0.177,145841
2026-05-20 15:15:00,B-L-9,0.113,4.381,0,0.178,145842
2026-05-20 15:30:00,B-L-9,0.113,4.379,0,0.177,145843
2026-05-20 15:45:00,B-L-9,0.113,4.384,0,0.178,145844
2026-05-20 16:00:00,B-L-9,0.113,4.381,0,0.177,145845
2026-05-20 16:15:00,B-L-9,0.114,4.377,0,0.178,145846
2026-05-20 16:30:00,B-L-9,0.113,4.381,0,0.177,145847
2026-05-20 16:45:00,B-L-9,0.113,4.374,0,0.177,145848
