model,split,rows,prevalence,average_precision,top5_precision,top5_recall,top5_enrichment,top10_precision,top10_recall,top10_enrichment,top20_precision,top20_recall,top20_enrichment,brier,ece_10bin,top10_enrichment_asset_cluster_ci_lower,top10_enrichment_asset_cluster_ci_upper
B0_NO_PREDICTION,development,71162,0.11055057474494814,0.11055057474494814,0.11055057474494814,0.05001264719934797,1.0,0.11055057474494816,0.10001124195497597,1.0000000000000002,0.11055057474494814,0.20000843146623198,1.0,0.09832914516850977,5.551115123125783e-17,,
B1_REPEAT_AWARE_RULE,development,71162,0.11055057474494814,0.15976235468656436,0.2351961229744056,0.10640180522002154,2.1274979665825158,0.23519612297440556,0.2127737138946033,2.1274979665825153,0.22415278133092117,0.40553788441375377,2.0276039436978532,0.09478895629023434,3.9057971138375524e-17,,
B2_LOGISTIC,development,71162,0.11055057474494814,0.29191045236434926,0.4248384377634167,0.19219524596415405,3.842932872520689,0.32879022059856683,0.2974450235159527,2.974115886390646,0.2445022131665847,0.44235413753654507,2.211677449264078,0.08987814636557359,0.004128259665832738,,
B0_NO_PREDICTION,validation,16618,0.09026356962330004,0.09026356962330004,0.09026356962330004,0.05000601757130822,1.0,0.09026356962330004,0.10001203514261645,1.0,0.09026356962330004,0.2000240702852329,1.0,0.08252762019896548,0.020287005121648133,,
B1_REPEAT_AWARE_RULE,validation,16618,0.09026356962330004,0.14565556851043687,0.22990726429675423,0.12736862442040184,2.5470659453889746,0.22990726429675423,0.2547372488408037,2.5470659453889746,0.19328381764021224,0.42831693989071035,2.141326987696698,0.07878616641378162,0.015719785329689862,,
B2_LOGISTIC,validation,16618,0.09026356962330004,0.3172813638325476,0.41997593261131166,0.23266666666666666,4.652773365423185,0.309265944645006,0.3426666666666667,3.4262543120738065,0.2283393501805054,0.506,2.5296955475330924,0.07263009763839857,0.01624979398806315,,
B0_NO_PREDICTION,confirmatory,9145,0.0726079825041006,0.0726079825041006,0.07260798250410061,0.05008201202843084,1.0000000000000002,0.0726079825041006,0.10005467468562056,1.0,0.07260798250410061,0.2,1.0000000000000002,0.06877570368674005,0.037942592240847575,,
B1_REPEAT_AWARE_RULE,confirmatory,9145,0.0726079825041006,0.1057885793782653,0.17802385008517888,0.12279355924549988,2.451849561790604,0.17802385008517888,0.24531901028304018,2.451849561790604,0.1347122246519796,0.3710672573621547,1.8553362868107734,0.0666666608614607,0.029188206982089886,,
B2_LOGISTIC,confirmatory,9145,0.0726079825041006,0.1987347617215172,0.29912663755458513,0.2063253012048193,4.1197486452359655,0.2262295081967213,0.3117469879518072,3.115766344064784,0.16457080371787863,0.45331325301204817,2.2665662650602414,0.06405575207719431,0.02400173346986079,2.7138252686234727,3.4946907685055657
