injection_id,meter_id,target_date,operator,class,target_start,target_end,provenance_sha256,original_action,injected_action,original_score,injected_score,delta_score,informative,recovered,escalated,inspect_only_recovery,interval_iou,original_reasons,injected_reasons,field_truth_label,unmodified_background_normal_label,promotion_scope
7fbec681375eca809e35,B-L-13,2026-06-30,benign_transition,benign,2026-06-30 05:15:00,2026-06-30 05:30:00,68c4aa472d24404271485f1908a354f8e700f69fc71cbf639261652322786d8e,normal,normal,0.0,0.0,0.0,False,False,False,False,0.0,CONTRADICTORY_EVIDENCE;INSUFFICIENT_INDEPENDENT_EVIDENCE;INSUFFICIENT_PERSISTENCE;LOAD_UNAVAILABLE;PHASE_UNAVAILABLE;STAGE_A_BELOW_THRESHOLD;SOLAR_UNAVAILABLE;POLICY_UNAVAILABLE,CONTRADICTORY_EVIDENCE;INSUFFICIENT_INDEPENDENT_EVIDENCE;INSUFFICIENT_PERSISTENCE;LOAD_UNAVAILABLE;PHASE_UNAVAILABLE;STAGE_A_BELOW_THRESHOLD;SOLAR_UNAVAILABLE;POLICY_UNAVAILABLE,unavailable,False,semi_synthetic_transport_only
dcff3bbe9332cd45faf6,B-L-13,2026-06-24,benign_transition,benign,2026-06-24 05:15:00,2026-06-24 05:30:00,64bee1afd34472dcc47a75d9f7c29363ceb58335394b2d45d8eec28af40edccc,normal,normal,0.0,0.0,0.0,False,False,False,False,0.0,CONTRADICTORY_EVIDENCE;INSUFFICIENT_INDEPENDENT_EVIDENCE;INSUFFICIENT_PERSISTENCE;LOAD_UNAVAILABLE;PHASE_UNAVAILABLE;STAGE_A_BELOW_THRESHOLD;SOLAR_UNAVAILABLE;POLICY_UNAVAILABLE,CONTRADICTORY_EVIDENCE;INSUFFICIENT_INDEPENDENT_EVIDENCE;INSUFFICIENT_PERSISTENCE;LOAD_UNAVAILABLE;PHASE_UNAVAILABLE;STAGE_A_BELOW_THRESHOLD;SOLAR_UNAVAILABLE;POLICY_UNAVAILABLE,unavailable,False,semi_synthetic_transport_only
0ca54a6958eef64a6fcd,B-L-13,2026-06-07,benign_transition,benign,2026-06-07 05:15:00,2026-06-07 05:30:00,5da525525c04b1e18a32dd588d657bceb4fe2d356dc0b8060faa9462493584e9,normal,normal,0.0,0.0,0.0,False,False,False,False,0.0,CONTRADICTORY_EVIDENCE;INSUFFICIENT_INDEPENDENT_EVIDENCE;INSUFFICIENT_PERSISTENCE;LOAD_UNAVAILABLE;PHASE_UNAVAILABLE;STAGE_A_BELOW_THRESHOLD;SOLAR_UNAVAILABLE;POLICY_UNAVAILABLE,CONTRADICTORY_EVIDENCE;INSUFFICIENT_INDEPENDENT_EVIDENCE;INSUFFICIENT_PERSISTENCE;LOAD_UNAVAILABLE;PHASE_UNAVAILABLE;STAGE_A_BELOW_THRESHOLD;SOLAR_UNAVAILABLE;POLICY_UNAVAILABLE,unavailable,False,semi_synthetic_transport_only
2f16c1f71180fe235a73,B-L-14,2026-06-04,benign_transition,benign,2026-06-04 05:15:00,2026-06-04 05:30:00,412cf7f55725ac578469b9ed58515bb0caaa60aa5a270fe8c238582d2e2022c3,normal,normal,0.0,0.0,0.0,False,False,False,False,0.0,CONTRADICTORY_EVIDENCE;INSUFFICIENT_PERSISTENCE;LOAD_UNAVAILABLE;STAGE_A_BELOW_THRESHOLD;SOLAR_UNAVAILABLE;POLICY_UNAVAILABLE,CONTRADICTORY_EVIDENCE;INSUFFICIENT_PERSISTENCE;LOAD_UNAVAILABLE;STAGE_A_BELOW_THRESHOLD;SOLAR_UNAVAILABLE;POLICY_UNAVAILABLE,unavailable,False,semi_synthetic_transport_only
ac6601256afc3e2fe7ec,B-L-14,2026-06-06,benign_transition,benign,2026-06-06 05:15:00,2026-06-06 05:30:00,b953f5ae283c3a51a3387718d1c45587217405f3980bc1021e041ba6a1cba865,normal,normal,0.0,0.0,0.0,False,False,False,False,0.0,CONTRADICTORY_EVIDENCE;INSUFFICIENT_PERSISTENCE;LOAD_UNAVAILABLE;STAGE_A_BELOW_THRESHOLD;SOLAR_UNAVAILABLE;POLICY_UNAVAILABLE,CONTRADICTORY_EVIDENCE;INSUFFICIENT_PERSISTENCE;LOAD_UNAVAILABLE;STAGE_A_BELOW_THRESHOLD;SOLAR_UNAVAILABLE;POLICY_UNAVAILABLE,unavailable,False,semi_synthetic_transport_only
96553a0397ef056f71fc,B-L-14,2026-06-09,benign_transition,benign,2026-06-09 05:15:00,2026-06-09 05:30:00,de37bc3753b09944c5d1a2d4167ba044a4fd854604725db54dc7857868982d7d,normal,normal,0.0,0.0,0.0,False,False,False,False,0.0,CONTRADICTORY_EVIDENCE;INSUFFICIENT_PERSISTENCE;LOAD_UNAVAILABLE;STAGE_A_BELOW_THRESHOLD;SOLAR_UNAVAILABLE;POLICY_UNAVAILABLE,CONTRADICTORY_EVIDENCE;INSUFFICIENT_PERSISTENCE;LOAD_UNAVAILABLE;STAGE_A_BELOW_THRESHOLD;SOLAR_UNAVAILABLE;POLICY_UNAVAILABLE,unavailable,False,semi_synthetic_transport_only
49bf5b614f33b479c9b3,B-L-14,2026-06-25,benign_transition,benign,2026-06-25 05:15:00,2026-06-25 05:30:00,39fa545203fb07b80f31634e9b24e8739853d871ada4ac8e8eb8a6bc81a8dca9,normal,normal,0.0,0.0,0.0,False,False,False,False,0.0,CONTRADICTORY_EVIDENCE;INSUFFICIENT_PERSISTENCE;LOAD_UNAVAILABLE;STAGE_A_BELOW_THRESHOLD;SOLAR_UNAVAILABLE;POLICY_UNAVAILABLE,CONTRADICTORY_EVIDENCE;INSUFFICIENT_PERSISTENCE;LOAD_UNAVAILABLE;STAGE_A_BELOW_THRESHOLD;SOLAR_UNAVAILABLE;POLICY_UNAVAILABLE,unavailable,False,semi_synthetic_transport_only
876f8d7869a1d6444426,B-L-14,2026-06-05,benign_transition,benign,2026-06-05 05:15:00,2026-06-05 05:30:00,311fb4ba03e84cc9b4bcd33c9963fac6550d1394990ac333448f57666b9016b6,normal,normal,0.0,0.0,0.0,False,False,False,False,0.0,CONTRADICTORY_EVIDENCE;INSUFFICIENT_PERSISTENCE;LOAD_UNAVAILABLE;STAGE_A_BELOW_THRESHOLD;SOLAR_UNAVAILABLE;POLICY_UNAVAILABLE,CONTRADICTORY_EVIDENCE;INSUFFICIENT_PERSISTENCE;LOAD_UNAVAILABLE;STAGE_A_BELOW_THRESHOLD;SOLAR_UNAVAILABLE;POLICY_UNAVAILABLE,unavailable,False,semi_synthetic_transport_only
4d958c1a3b674ad451b8,B-L-14,2026-05-28,benign_transition,benign,2026-05-28 05:15:00,2026-05-28 05:30:00,2cab69c4ab5215b32367bb6747712435f4c9523f8e78874146b4b9534871ca1f,normal,normal,0.0,0.0,0.0,False,False,False,False,0.0,CONTRADICTORY_EVIDENCE;INSUFFICIENT_PERSISTENCE;LOAD_UNAVAILABLE;STAGE_A_BELOW_THRESHOLD;SOLAR_UNAVAILABLE;POLICY_UNAVAILABLE,CONTRADICTORY_EVIDENCE;INSUFFICIENT_PERSISTENCE;LOAD_UNAVAILABLE;STAGE_A_BELOW_THRESHOLD;SOLAR_UNAVAILABLE;POLICY_UNAVAILABLE,unavailable,False,semi_synthetic_transport_only
d0d481a78caaccccd165,B-L-35,2026-06-30,benign_transition,benign,2026-06-30 05:30:00,2026-06-30 05:45:00,3622480f5ba12c990f429e03f473846ddb1b62bd4aec7c6397154e02d205bd83,normal,normal,0.0,0.0,0.0,False,False,False,False,0.0,CONTRADICTORY_EVIDENCE;INSUFFICIENT_INDEPENDENT_EVIDENCE;INSUFFICIENT_PERSISTENCE;LOAD_UNAVAILABLE;PHASE_UNAVAILABLE;STAGE_A_BELOW_THRESHOLD;SOLAR_UNAVAILABLE;POLICY_UNAVAILABLE,CONTRADICTORY_EVIDENCE;INSUFFICIENT_INDEPENDENT_EVIDENCE;INSUFFICIENT_PERSISTENCE;LOAD_UNAVAILABLE;PHASE_UNAVAILABLE;STAGE_A_BELOW_THRESHOLD;SOLAR_UNAVAILABLE;POLICY_UNAVAILABLE,unavailable,False,semi_synthetic_transport_only
4f066040a323131ebca6,B-L-35,2026-05-05,benign_transition,benign,2026-05-05 06:00:00,2026-05-05 06:15:00,398f76cf2d222cf612be4f95c14bb15c550bc44d0a6b268878a6fb600598498a,normal,normal,0.0,0.0,0.0,False,False,False,False,0.0,CONTRADICTORY_EVIDENCE;INSUFFICIENT_INDEPENDENT_EVIDENCE;INSUFFICIENT_PERSISTENCE;LOAD_UNAVAILABLE;PHASE_UNAVAILABLE;STAGE_A_BELOW_THRESHOLD;SOLAR_UNAVAILABLE;POLICY_UNAVAILABLE,CONTRADICTORY_EVIDENCE;INSUFFICIENT_INDEPENDENT_EVIDENCE;INSUFFICIENT_PERSISTENCE;LOAD_UNAVAILABLE;PHASE_UNAVAILABLE;STAGE_A_BELOW_THRESHOLD;SOLAR_UNAVAILABLE;POLICY_UNAVAILABLE,unavailable,False,semi_synthetic_transport_only
d3887b33147ab2285c2c,B-L-35,2026-05-27,benign_transition,benign,2026-05-27 05:30:00,2026-05-27 05:45:00,53e6c69684789f0b6dede8095b4f76494a6b5a8965275b3b2b657c16a211eaa2,normal,normal,0.0,0.0,0.0,False,False,False,False,0.0,CONTRADICTORY_EVIDENCE;INSUFFICIENT_INDEPENDENT_EVIDENCE;INSUFFICIENT_PERSISTENCE;LOAD_UNAVAILABLE;PHASE_UNAVAILABLE;STAGE_A_BELOW_THRESHOLD;SOLAR_UNAVAILABLE;POLICY_UNAVAILABLE,CONTRADICTORY_EVIDENCE;INSUFFICIENT_INDEPENDENT_EVIDENCE;INSUFFICIENT_PERSISTENCE;LOAD_UNAVAILABLE;PHASE_UNAVAILABLE;STAGE_A_BELOW_THRESHOLD;SOLAR_UNAVAILABLE;POLICY_UNAVAILABLE,unavailable,False,semi_synthetic_transport_only
35908b04dd55b276dd5c,B-L-35,2026-06-06,benign_transition,benign,2026-06-06 05:30:00,2026-06-06 05:45:00,f44a92b86d6da416e9daaab24b5ae7f8a90bb5b63997a0342e4776f24f36bf63,normal,normal,0.0,0.0,0.0,False,False,False,False,0.0,CONTRADICTORY_EVIDENCE;INSUFFICIENT_INDEPENDENT_EVIDENCE;INSUFFICIENT_PERSISTENCE;LOAD_UNAVAILABLE;PHASE_UNAVAILABLE;STAGE_A_BELOW_THRESHOLD;SOLAR_UNAVAILABLE;POLICY_UNAVAILABLE,CONTRADICTORY_EVIDENCE;INSUFFICIENT_INDEPENDENT_EVIDENCE;INSUFFICIENT_PERSISTENCE;LOAD_UNAVAILABLE;PHASE_UNAVAILABLE;STAGE_A_BELOW_THRESHOLD;SOLAR_UNAVAILABLE;POLICY_UNAVAILABLE,unavailable,False,semi_synthetic_transport_only
25d4de9ce55b2fe663f8,B-L-35,2026-06-08,benign_transition,benign,2026-06-08 05:30:00,2026-06-08 05:45:00,cda4caeefa54103674b8d2ed3c20c600229fc978b7f9ca6e46a096acde8b315c,normal,normal,0.0,0.0,0.0,False,False,False,False,0.0,CONTRADICTORY_EVIDENCE;INSUFFICIENT_INDEPENDENT_EVIDENCE;INSUFFICIENT_PERSISTENCE;LOAD_UNAVAILABLE;PHASE_UNAVAILABLE;STAGE_A_BELOW_THRESHOLD;SOLAR_UNAVAILABLE;POLICY_UNAVAILABLE,CONTRADICTORY_EVIDENCE;INSUFFICIENT_INDEPENDENT_EVIDENCE;INSUFFICIENT_PERSISTENCE;LOAD_UNAVAILABLE;PHASE_UNAVAILABLE;STAGE_A_BELOW_THRESHOLD;SOLAR_UNAVAILABLE;POLICY_UNAVAILABLE,unavailable,False,semi_synthetic_transport_only
71bd00d2aa52ea00558e,B-L-35,2026-05-16,benign_transition,benign,2026-05-16 05:45:00,2026-05-16 06:00:00,c8d988051d33044c7209a6c8aaf482ec12b6dd5949436665e26e2b9ef402a4ed,normal,normal,0.0,0.0,0.0,False,False,False,False,0.0,CONTRADICTORY_EVIDENCE;INSUFFICIENT_INDEPENDENT_EVIDENCE;INSUFFICIENT_PERSISTENCE;LOAD_UNAVAILABLE;PHASE_UNAVAILABLE;STAGE_A_BELOW_THRESHOLD;SOLAR_UNAVAILABLE;POLICY_UNAVAILABLE,CONTRADICTORY_EVIDENCE;INSUFFICIENT_INDEPENDENT_EVIDENCE;INSUFFICIENT_PERSISTENCE;LOAD_UNAVAILABLE;PHASE_UNAVAILABLE;STAGE_A_BELOW_THRESHOLD;SOLAR_UNAVAILABLE;POLICY_UNAVAILABLE,unavailable,False,semi_synthetic_transport_only
fc1142f194ebe463fe7a,B-L-35,2026-06-25,benign_transition,benign,2026-06-25 05:30:00,2026-06-25 05:45:00,db23eefffdadd0283c6ffbb621b8a6142b4ea903d14ddc16d1f0f49379379055,normal,normal,0.0,0.0,0.0,False,False,False,False,0.0,CONTRADICTORY_EVIDENCE;INSUFFICIENT_INDEPENDENT_EVIDENCE;INSUFFICIENT_PERSISTENCE;LOAD_UNAVAILABLE;PHASE_UNAVAILABLE;STAGE_A_BELOW_THRESHOLD;SOLAR_UNAVAILABLE;POLICY_UNAVAILABLE,CONTRADICTORY_EVIDENCE;INSUFFICIENT_INDEPENDENT_EVIDENCE;INSUFFICIENT_PERSISTENCE;LOAD_UNAVAILABLE;PHASE_UNAVAILABLE;STAGE_A_BELOW_THRESHOLD;SOLAR_UNAVAILABLE;POLICY_UNAVAILABLE,unavailable,False,semi_synthetic_transport_only
b436342bb7422f45e029,B-L-35,2026-05-01,benign_transition,benign,2026-05-01 06:00:00,2026-05-01 06:15:00,c7d3cfb5800d7699d8772ce1e0ce4195263adf4fcde7691564c9161b3bf0fca1,normal,normal,0.0,0.0,0.0,False,False,False,False,0.0,CONTRADICTORY_EVIDENCE;INSUFFICIENT_INDEPENDENT_EVIDENCE;INSUFFICIENT_PERSISTENCE;LOAD_UNAVAILABLE;PHASE_UNAVAILABLE;STAGE_A_BELOW_THRESHOLD;SOLAR_UNAVAILABLE;POLICY_UNAVAILABLE,CONTRADICTORY_EVIDENCE;INSUFFICIENT_INDEPENDENT_EVIDENCE;INSUFFICIENT_PERSISTENCE;LOAD_UNAVAILABLE;PHASE_UNAVAILABLE;STAGE_A_BELOW_THRESHOLD;SOLAR_UNAVAILABLE;POLICY_UNAVAILABLE,unavailable,False,semi_synthetic_transport_only
ee92ae46d2667f2b08f2,B-L-9,2026-06-19,benign_transition,benign,2026-06-19 05:30:00,2026-06-19 05:45:00,2847cb8632c87c7b956b4f01fe9b5554ad4e3354aa4fe743a5483c4e78a9e1b7,normal,normal,0.0,0.0,0.0,False,False,False,False,0.0,CONTRADICTORY_EVIDENCE;INSUFFICIENT_PERSISTENCE;LOAD_UNAVAILABLE;STAGE_A_BELOW_THRESHOLD;SOLAR_UNAVAILABLE;POLICY_UNAVAILABLE,CONTRADICTORY_EVIDENCE;INSUFFICIENT_PERSISTENCE;LOAD_UNAVAILABLE;STAGE_A_BELOW_THRESHOLD;SOLAR_UNAVAILABLE;POLICY_UNAVAILABLE,unavailable,False,semi_synthetic_transport_only
7d8e7f5d9453402bf7e7,B-L-9,2026-06-24,benign_transition,benign,2026-06-24 05:30:00,2026-06-24 05:45:00,321b5b00fa3946971b8fc1753aabfa524eae1741b4d3ed4aa3f7dec352467e67,normal,normal,0.0,0.0,0.0,False,False,False,False,0.0,CONTRADICTORY_EVIDENCE;INSUFFICIENT_PERSISTENCE;LOAD_UNAVAILABLE;STAGE_A_BELOW_THRESHOLD;SOLAR_UNAVAILABLE;POLICY_UNAVAILABLE,CONTRADICTORY_EVIDENCE;INSUFFICIENT_PERSISTENCE;LOAD_UNAVAILABLE;STAGE_A_BELOW_THRESHOLD;SOLAR_UNAVAILABLE;POLICY_UNAVAILABLE,unavailable,False,semi_synthetic_transport_only
9c624b3c048eed25397e,B-L-9,2026-05-07,benign_transition,benign,2026-05-07 05:45:00,2026-05-07 06:00:00,9f6b05f2fec2aed45b34de22f1d54ad0bd20a313256d1ad43f8d423b582e00af,normal,normal,0.0,0.0,0.0,False,False,False,False,0.0,CONTRADICTORY_EVIDENCE;INSUFFICIENT_PERSISTENCE;LOAD_UNAVAILABLE;STAGE_A_BELOW_THRESHOLD;SOLAR_UNAVAILABLE;POLICY_UNAVAILABLE,CONTRADICTORY_EVIDENCE;INSUFFICIENT_PERSISTENCE;LOAD_UNAVAILABLE;STAGE_A_BELOW_THRESHOLD;SOLAR_UNAVAILABLE;POLICY_UNAVAILABLE,unavailable,False,semi_synthetic_transport_only
9713b5b53da07fbd1c6b,B-L-9,2026-06-04,benign_transition,benign,2026-06-04 05:30:00,2026-06-04 05:45:00,d004cfe55cc2fdb597cf4dc92420ebe4e74e9d8c1777a88efe8f940d9c1c6fde,normal,normal,0.0,0.0,0.0,False,False,False,False,0.0,CONTRADICTORY_EVIDENCE;INSUFFICIENT_PERSISTENCE;LOAD_UNAVAILABLE;STAGE_A_BELOW_THRESHOLD;SOLAR_UNAVAILABLE;POLICY_UNAVAILABLE,CONTRADICTORY_EVIDENCE;INSUFFICIENT_PERSISTENCE;LOAD_UNAVAILABLE;STAGE_A_BELOW_THRESHOLD;SOLAR_UNAVAILABLE;POLICY_UNAVAILABLE,unavailable,False,semi_synthetic_transport_only
b47f136c4629b6b53718,B-L-9,2026-05-08,benign_transition,benign,2026-05-08 05:45:00,2026-05-08 06:00:00,6ab45651f75a3f45e881be866f5e523f735745e403c114604b557f15e7307296,normal,normal,0.0,0.0,0.0,False,False,False,False,0.0,CONTRADICTORY_EVIDENCE;INSUFFICIENT_PERSISTENCE;LOAD_UNAVAILABLE;STAGE_A_BELOW_THRESHOLD;SOLAR_UNAVAILABLE;POLICY_UNAVAILABLE,CONTRADICTORY_EVIDENCE;INSUFFICIENT_PERSISTENCE;LOAD_UNAVAILABLE;STAGE_A_BELOW_THRESHOLD;SOLAR_UNAVAILABLE;POLICY_UNAVAILABLE,unavailable,False,semi_synthetic_transport_only
c9ba3f39b8382c17699a,B-L-9,2026-06-03,benign_transition,benign,2026-06-03 05:30:00,2026-06-03 05:45:00,9dae0c26fccc2216a5d2d4aa84dd8f2bdbb23adb14d111a5224ffe4bdc3455db,normal,normal,0.0,0.0,0.0,False,False,False,False,0.0,CONTRADICTORY_EVIDENCE;INSUFFICIENT_PERSISTENCE;LOAD_UNAVAILABLE;STAGE_A_BELOW_THRESHOLD;SOLAR_UNAVAILABLE;POLICY_UNAVAILABLE,CONTRADICTORY_EVIDENCE;INSUFFICIENT_PERSISTENCE;LOAD_UNAVAILABLE;STAGE_A_BELOW_THRESHOLD;SOLAR_UNAVAILABLE;POLICY_UNAVAILABLE,unavailable,False,semi_synthetic_transport_only
