fault_type,count,share,resolution_median,resolution_p90,repeat_90d_share
불이 들어오지 않아요,2965,0.8626709339540297,2,6,0.16415735794074793
기타,306,0.08903113180098923,3.0,7,0.15625
농작물 피해 시간조정,65,0.018911841722432352,2,6,0.27586206896551724
불이 깜박거려요,41,0.0119290078556881,2,6,0.11764705882352941
낮에 불이 켜져 있어요,25,0.007273785277858598,2.5,6,0.15384615384615385
수면방해,17,0.004946173988943846,2.5,8,0.14285714285714285
너무 밝아요,9,0.002618562700029095,3,3,0.1111111111111111
스위치 파손,6,0.0017457084666860634,2.0,5,0.0
보안등 뚜껑이 열렸어요,3,0.0008728542333430317,1,3,0.0
