municipality,events,unique_assets,events_per_1000_assets,resolution_eligible,resolution_median,resolution_p90,same_day_share,over_3d_share,over_7d_share,repeat_30d_share,repeat_90d_share,repeat_365d_share
Daegu,10568,8877,1190.4922834290865,10568,0.0,6,0.8204012112036336,0.12528387585162756,0.08790688872066617,0.07463651050080776,0.13022074003493728,
Buyeo,1705,1357,1256.4480471628592,1705,1,6,0.21524926686217008,0.2316715542521994,0.05161290322580645,0.0971563981042654,0.1556122448979592,
