municipality,window_start,window_end,repeat_30d_share,repeat_90d_share,repeat_365d_share
Daegu,2024-12-30,2025-08-09,0.07463651050080776,0.13022074003493728,
Buyeo,2024-12-30,2025-08-09,0.0971563981042654,0.1556122448979592,
